Lat,Lon,Titel,Cases,Deaths
46.2017559,6.1466014,Geneva,78,0
46.6356963,6.5320717,Vaud,108,1
47.5579097,7.5927728,Basel City,49,0
47.412396,8.1948321,Aargau,17,0
47.3723941,8.5423328,Zurich,58,0
46.3356506,8.753706,Ticino,137,1
46.6960615,9.6027351,Graubünden,23,0
46.2303063,7.6605757,Valais,18,0
47.4839723,7.7347783,Basel Country,23,1
46.8739775,7.5631943,Bern,41,0
46.6789116,7.1027113,Fribourg,16,0
47.1486137,8.5539378,Zug,7,0
47.0571976,8.7222073,Schwyz,7,0
46.9895828,6.9292641,Neuchâtel,27,0
47.2033184,9.3507024,St. Gallen,10,0
47.0505452,8.3054682,Lucerne,7,0
47.3960076,9.3705839,Appenzell Ausserrhoden,2,0
47.3370866,7.2440935,Jura,5,0
47.5859649,9.1428769,Thurgau,4,0
47.31874,7.6698284,Solothurn,2,0
46.9796562,9.108812,Glarus,2,0
47.7151451,8.519796,Schaffhausen,1,0
47.7151451,8.519796,Nidwalden,3,0
